First,Japanese,English
数え 532,緊張 ,Nervousness
緊張 531,優先 ,priority 
優先 529,米国 ,US 
米国 529,当て ,Welcome
当て 527,出来事 ,event 
出来事 526,設計 ,Design
設計 526,大量 ,Mass
大量 525,投げ ,Throwing
投げ 525,内容 ,Content
内容 524,機密 ,Secret
機密 523,授業 ,class 
授業 523,義務 ,Duty
義務 521,突き止め ,Discontinuation
突き止め 520,広 ,Widespread
広 520,通報 ,Report
通報 519,文字 ,letter 
文字 518,アップ ,Up
アップ 518,学生 ,student 
学生 517,オリビア ,Olivia
オリビア 516,暗殺 ,Assassination
暗殺 516,注目 ,attention 
注目 515,暗号 ,Cipher
暗号 515,背中 ,back 
背中 515,囚人 ,Prisoner
囚人 514,完成 ,Complete 
完成 514,休み ,holiday 
休み 513,孤独 ,Loneliness
孤独 511,アイデア ,idea 
アイデア 510,武装 ,Armament
武装 510,果た ,End
果た 509,地域 ,region 
地域 509,始まり ,Beginning
始まり 508,見事 ,Brilliant
見事 507,防衛 ,Defense
防衛 506,人形 ,doll 
人形 506,カリフォルニア ,California
カリフォルニア 505,着陸 ,Landing
着陸 505,文句 ,Complaint
文句 504,委員 ,Committee member
委員 503,地元 ,Local
地元 503,自信 ,Confidence
自信 503,貴女 ,You
貴女 502,知識 ,Knowledge
知識 502,予約 ,reservation 
予約 501,メアリー ,Mary
メアリー 501,椅子 ,Chair 
椅子 500,教師 ,Teacher
教師 498,賛成 ,agreement 
賛成 498,操作 ,Operation
操作 498,要請 ,Request
要請 497,記者 ,Reporter
記者 496,今後 ,from now on 
今後 495,畜生 ,damn it 
畜生 494,伝説 ,Legend 
伝説 494,主張 ,Claim
主張 493,民 ,People
民 492,自ら ,oneself 
自ら 491,死者 ,Dead
死者 490,アンディ ,Andy
アンディ 490,機嫌 ,mood 
機嫌 489,小 ,Small
小 489,アリス ,Alice 
アリス 489,あきらめ ,give up 
あきらめ 488,程 ,Moderate
程 487,ばあ ,Trajectory
ばあ 487,証人 ,Witness
証人 486,議論 ,Discussion
議論 486,一般 ,Ordinary
一般 483,先週 ,last week 
先週 483,放射 ,Radiation
放射 482,程度 ,Degree
程度 482,アホ ,Stupid
アホ 481,身元 ,Identity
身元 480,有難う ,Thank you 
有難う 480,アーサー ,Arthur
アーサー 480,強力 ,Powerful
強力 479,同時 ,Simultaneous
同時 479,休暇 ,vacation 
休暇 479,拷問 ,Torture
拷問 478,出口 ,Exit 
出口 477,決断 ,Decision
決断 476,移 ,Transition
移 476,大尉 ,Captain
大尉 474,小僧 ,Kid
小僧 473,態度 ,Attitude
態度 472,記念 ,memorial 
記念 472,投資 ,Investment
投資 471,危機 ,Crisis
危機 470,持て ,Hold
持て 469,アナタ ,you 
アナタ 469,企業 ,Company
企業 469,接近 ,Approach
接近 467,世紀 ,Century
世紀 467,一方 ,on the other hand 
一方 467,動け ,Movement
動け 467,知ら ,Knowing
知ら 466,否定 ,denial 
否定 464,保管 ,storage 
保管 464,ジュリア ,Julia
ジュリア 464,吉森 ,Good forest
吉森 462,燃料 ,Fuel
燃料 462,源 ,Source
源 461,反 ,Anti
反 461,千 ,Thousand
千 460,順調 ,Smoothness
順調 459,道具 ,tool 
道具 459,状 ,Shape
状 457,非難 ,Criticism
非難 457,朝食 ,breakfast 
朝食 457,環境 ,Environment
環境 456,役立 ,Useful
役立 455,午前 ,morning 
午前 454,アーマン ,Armor
アーマン 454,援護 ,Support
援護 453,動機 ,Motivation
動機 453,売春 ,Prostitution
売春 452,令状 ,Warrant
令状 450,指導 ,Guidance
指導 450,天国 ,heaven 
天国 450,この世 ,This world
この世 449,代表 ,representative 
代表 448,投票 ,vote 
投票 448,作れ ,Make
作れ 447,最善 ,Best
最善 447,地上 ,Ground
地上 446,手助け ,Help
手助け 446,婚約 ,Engagement
婚約 445,選手 ,player 
選手 445,保障 ,Guarantee
保障 444,自動 ,Automatic
自動 444,呼び出 ,Calling out
呼び出 442,売れ ,Selling
売れ 441,策 ,Measures
策 441,伝言 ,message 
伝言 440,経営 ,management 
経営 440,中尉 ,Lieutenant
中尉 440,休憩 ,break 
休憩 440,数学 ,Math 
数学 439,院 ,Hospital
院 439,夜中 ,Midnight
夜中 438,番組 ,Program
番組 438,作品 ,the work 
作品 438,種類 ,kinds 
種類 438,手遅れ ,Being too late
手遅れ 437,外れ ,Outlook
外れ 436,警戒 ,Vigilance
警戒 435,ジュリアン ,Julian
ジュリアン 435,似合 ,Goodbye
似合 435,犯行 ,crime 
犯行 434,基本 ,Basics
基本 434,影 ,Shadow 
影 433,読め ,Reading
読め 433,警報 ,Alarm
警報 432,不足 ,Shortage
不足 431,門 ,Gates
門 431,同士 ,With each other
同士 430,動揺 ,upset 
動揺 429,手伝い ,Help
手伝い 429,対応 ,correspondence 
対応 429,白人 ,White man
白人 429,科 ,Department
科 428,推測 ,Speculation
推測 427,航空 ,Aviation
航空 426,国民 ,Citizen
国民 426,演奏 ,Performance
演奏 426,屋根 ,roof 
屋根 424,呼べ ,Call
呼べ 424,初 ,first time 
初 424,神々 ,Gods 
神々 424,自宅 ,one's home 
自宅 423,中毒 ,Poisoning
中毒 422,回収 ,collect 
回収 422,特殊 ,Special 
特殊 421,降ろ ,Descent
降ろ 421,市場 ,Market
市場 420,放せ ,Unloading
放せ 420,帝国 ,Empire
帝国 420,送信 ,send 
送信 419,四 ,Four
四 419,国境 ,Border
国境 418,芸術 ,Art
芸術 418,殺し屋 ,Murderer
殺し屋 418,人殺し ,Murder
人殺し 417,資料 ,Document 
資料 417,親し ,Parents
親し 416,年代 ,Age
年代 416,飲み物 ,Drink
飲み物 416,正当 ,Legitimate
正当 416,諜報 ,Intelligence
諜報 414,単なる ,Mere
単なる 414,感覚 ,feelings 
感覚 413,放送 ,Broadcasting
放送 413,老人 ,Old man
老人 413,夢中 ,Absorption
夢中 413,配置 ,Arrangement
配置 413,支持 ,Support
支持 412,来れ ,Come
来れ 411,告白 ,Confession
告白 411,教育 ,Education
教育 409,従業 ,Business
従業 409,看護 ,Nurse 
看護 409,宝石 ,jewelry 
宝石 408,生か ,is it raw 
生か 407,利益 ,Profit
利益 407,黒人 ,Black man
黒人 406,農場 ,Farm
農場 406,金曜 ,Friday 
金曜 406,着け ,Wearing
着け 406,アイス ,Ice cream
アイス 405,地区 ,District
地区 405,保 ,Maintaining
保 405,候補 ,candidate 
候補 405,認識 ,Perception
認識 403,家庭 ,Home
家庭 403,近所 ,neighborhood 
近所 402,持ち ,Holding
持ち 400,中心 ,Center
中心 399,接続 ,connection 
接続 399,艦 ,Ship
艦 398,取得 ,Acquisition
取得 398,臆病 ,Timid
臆病 397,若者 ,Youth
若者 397,観察 ,observation 
観察 396,大金 ,Big money
大金 396,速度 ,Speed
速度 395,今年 ,this year 
今年 395,使命 ,Mission
使命 395,数字 ,Number
数字 393,独り ,Solitary
独り 393,術 ,Art
術 393,中身 ,contents 
中身 392,座れ ,Sitting
座れ 390,登 ,Climbing
登 390,応援 ,support 
応援 390,世間 ,World
世間 390,不幸 ,Unfortunate
不幸 390,アニー ,Annie
アニー 390,済み ,Finished
済み 389,理論 ,Theory
理論 388,不能 ,Incompetence
不能 387,訪問 ,Visit
訪問 387,貴重 ,Valuable
貴重 387,正 ,Positive
正 387,連れ出 ,Taking out
連れ出 386,安 ,Cheap
安 386,阻止 ,Stopping
阻止 386,外出 ,Go out 
外出 386,処分 ,Disposition
処分 386,アレ ,That
アレ 385,少佐 ,Major
少佐 385,来週 ,next week 
来週 384,権力 ,Power
権力 384,両手 ,both hands 
両手 384,優れ ,Superiority
優れ 384,共有 ,share 
共有 383,載 ,Listing
載 382,死刑 ,Death sentence
死刑 382,余計 ,Extra
余計 381,無罪 ,Not guilty 
無罪 381,深刻 ,Serious
深刻 381,対策 ,countermeasure 
対策 380,運動 ,Exercise
運動 380,係 ,Clerk
係 379,東京 ,Tokyo 
東京 378,愛し ,Love
愛し 378,浮気 ,Flirtation
浮気 378,登録 ,Registration 
登録 378,発作 ,Seizure
発作 377,権限 ,authority 
権限 377,か月 ,Month
か月 377,輸送 ,transportation 
輸送 377,中央 ,Center
中央 376,あんまり ,not really 
あんまり 376,集団 ,Group
集団 376,引っ張 ,Pulling
引っ張 376,何百 ,Hundreds
何百 375,限界 ,limit 
限界 375,下げ ,Lowering
下げ 375,波 ,Waves
波 374,何事 ,What
何事 373,ありがた ,Grateful
ありがた 373,相当 ,Equivalent
相当 372,岩 ,Rock
岩 372,着替え ,Change of clothes
着替え 370,趣味 ,hobby 
趣味 370,全力 ,Full power
全力 370,解除 ,Cancellation 
解除 369,計算 ,Calculation
計算 369,降 ,Downhill
降 369,映 ,Film
映 368,財布 ,wallet 
財布 367,不満 ,dissatisfaction 
不満 367,代理 ,Proxy
代理 367,去年 ,Last year
去年 367,賞 ,Award
賞 366,一言 ,Word
一言 366,連続 ,continuous 
連続 366,太 ,Slim
太 366,最新 ,Latest
最新 365,金属 ,Metal
金属 365,とりあえず ,for now 
とりあえず 365,教 ,Teaching
教 364,イタリア ,Italy
イタリア 364,関与 ,Involvement
関与 364,人気 ,Popularity 
人気 364,生き延び ,Survival
生き延び 364,下ろ ,Downhill
下ろ 363,通常 ,usually 
通常 363,巡査 ,Police officer
巡査 362,報酬 ,Reward
報酬 362,署名 ,signature 
署名 362,一族 ,Clan
一族 362,反逆 ,Rebellion
反逆 362,助手 ,assistant 
助手 362,過ち ,Reconciliation
過ち 362,美人 ,Beautiful
美人 361,進行 ,Progress
進行 361,民間 ,Private
民間 361,余地 ,Room
余地 361,選挙 ,election 
選挙 361,悲劇 ,Tragedy
悲劇 360,含 ,Including
含 360,財産 ,property 
財産 360,離せ ,Separate
離せ 359,共通 ,common 
共通 359,滞在 ,Staying
滞在 359,初め ,Beginning
初め 359,合図 ,sign 
合図 359,国際 ,International
国際 358,事業 ,business 
事業 358,当時 ,at that time 
当時 358,成 ,Creation
成 358,電源 ,power supply 
電源 356,強制 ,Forced
強制 356,革命 ,Revolution
革命 355,潜入 ,Infiltration
潜入 355,公平 ,fair 
公平 355,公式 ,Official
公式 354,復活 ,revival 
復活 354,派 ,Faction
派 354,尾行 ,Tail
尾行 354,軍事 ,Military affairs
軍事 353,合衆 ,Cohesion
合衆 353,含め ,Including
含め 353,結 ,Conclusion
結 353,物事 ,things 
物事 352,勿論 ,Of course
勿論 352,念 ,Sense
念 351,英国 ,British
英国 351,分け ,Division
分け 350,地面 ,Ground 
地面 350,単に ,Simply
単に 350,一瞬 ,for a moment 
一瞬 349,共同 ,Joint 
共同 349,販売 ,sale 
販売 348,体験 ,Experience
体験 348,用事 ,business 
用事 348,存 ,Existence
存 347,身分 ,Status
身分 347,集会 ,Rally
集会 346,火事 ,fire 
火事 346,車両 ,Vehicle
車両 346,挑戦 ,challenge 
挑戦 345,叔母 ,aunt 
叔母 345,配達 ,delivery 
配達 344,入手 ,obtain 
入手 344,資格 ,Qualification
資格 344,判事 ,Judge
判事 344,小説 ,novel 
小説 344,呪文 ,Spell
呪文 344,美味し ,Delicious 
美味し 344,女房 ,Wife
女房 344,反乱 ,Rebellion
反乱 343,マリア ,Maria 
マリア 343,重大 ,Serious
重大 343,聖 ,Sacred
聖 343,産 ,Birth
産 343,通過 ,Passing
通過 342,正常 ,Normal
正常 342,アマンダ ,Amanda
アマンダ 341,支え ,Support
支え 341,軍人 ,Soldier
軍人 341,期間 ,Period
期間 340,アーロン ,Aaron
アーロン 340,加わ ,Join
加わ 340,五 ,Five
五 340,医学 ,Medicine
医学 340,不要 ,Unnecessary
不要 340,天 ,Heaven
天 340,馬鹿げ ,Idiot
馬鹿げ 340,調整 ,Adjustment
調整 340,執行 ,Execution
執行 339,製 ,Manufacturing
製 339,補 ,Supplement
補 339,必死 ,Desperate
必死 339,バウアー ,Bauer
バウアー 339,不正 ,Fraud
不正 338,クリア ,clear 
クリア 338,用件 ,Case
用件 337,薬物 ,Drug
薬物 337,創造 ,Creation
創造 337,乗り越え ,Overcoming
乗り越え 337,規模 ,Scale
規模 337,悪化 ,Worsening
悪化 336,置き去り ,Leaving behind
置き去り 336,言い訳 ,Excuse
言い訳 336,業 ,Business
業 335,申し上げ ,Claim
申し上げ 335,制服 ,Uniform
制服 335,顧客 ,client 
顧客 335,護衛 ,Escort
護衛 334,無人 ,Unmanned
無人 334,信仰 ,Religion
信仰 333,防 ,Prevention
防 333,造 ,Construction
造 333,当局 ,Authorities
当局 333,告発 ,Accusation
告発 332,日々 ,day to day 
日々 331,設定 ,setting 
設定 331,正解 ,correct answer 
正解 331,変身 ,Transform 
変身 331,工作 ,Work
工作 330,処刑 ,Execution
処刑 329,役割 ,role 
役割 329,一員 ,Member
一員 329,発砲 ,Firing
発砲 328,女子 ,Girl
女子 328,電子 ,Electron
電子 327,結論 ,Conclusion
結論 326,真面目 ,serious 
真面目 326,予測 ,prediction 
予測 325,修正 ,Correction
修正 325,対象 ,subject 
対象 324,一時 ,Time
一時 324,風呂 ,bath 
風呂 324,取り出 ,Taking out
取り出 324,手錠 ,Handcuffs
手錠 324,牧師 ,Minister
牧師 321,半沢 ,Semicircle
半沢 321,実現 ,realization 
実現 321,区 ,Ward
区 320,種族 ,Race 
種族 320,時点 ,Point
時点 320,代わ ,Alternate
代わ 320,土曜 ,Saturday
土曜 320,広が ,Widespread
広が 320,戦え ,fight 
戦え 320,指令 ,Command 
指令 319,生き物 ,Creature
生き物 319,美術 ,Art
美術 318,自慢 ,Pride
自慢 318,舞台 ,Stage
舞台 318,上げろ ,Raise
上げろ 318,質 ,Quality
質 318,交通 ,Traffic
交通 316,引き起こ ,Causing
引き起こ 316,建て ,Construction
建て 316,上昇 ,rise 
上昇 316,心理 ,Psychology
心理 315,楽しめ ,enjoy it 
楽しめ 315,検討 ,Consider 
検討 315,勤務 ,Work
勤務 315,作用 ,Action
作用 315,料 ,Fee
料 314,付き ,Accompaniment
付き 314,隠れ家 ,Retreat
隠れ家 314,隊長 ,Captain
隊長 314,世代 ,Generation
世代 314,前進 ,Advance
前進 314,決まり ,Decision
決まり 313,繭子 ,Cowbo
繭子 313,死因 ,Cause of death
死因 313,続き ,continuation 
続き 313,酸素 ,oxygen 
酸素 313,凶器 ,Weapon
凶器 312,引き受け ,Undertake
引き受け 312,助言 ,Advice
助言 312,国王 ,King
国王 312,外科 ,Surgery
外科 312,取り引き ,Transaction
取り引き 311,此処 ,Here
此処 311,支払い ,Payment
支払い 311,背後 ,Behind
背後 310,図書 ,Book
図書 308,際 ,edge 
際 308,症状 ,Symptoms
症状 308,話しかけ ,Speech
話しかけ 308,引きず ,Drag
引きず 308,用心 ,Precaution
用心 308,転送 ,transfer 
転送 307,公開 ,Release 
公開 307,商売 ,Business
商売 307,隔離 ,isolation 
隔離 307,理想 ,Ideal
理想 307,月曜 ,Monday
月曜 307,派遣 ,Dispatch
派遣 306,並 ,common 
並 306,表現 ,Expression 
表現 305,ジュニア ,Junior
ジュニア 305,乗客 ,passenger 
乗客 305,初めまして ,nice to meet you 
初めまして 305,目指 ,Aim
目指 305,年齢 ,age 
年齢 304,虐殺 ,Slaughter
虐殺 304,アン ,Ann 
アン 304,問 ,Question
問 304,悪党 ,Villain
悪党 303,争 ,Dispute
争 303,使い ,User
使い 303,現 ,Present
現 303,本人 ,Person
本人 303,十 ,Ten
十 302,報道 ,Report
報道 302,分離 ,Separation
分離 301,発信 ,Dissemination
発信 301,印象 ,Impression
印象 301,正面 ,Front
正面 301,面会 ,Meeting
面会 301,ヵ月 ,Month
ヵ月 300,上院 ,Senate
上院 300,目立 ,Conspicuous 
目立 299,戦略 ,strategy 
戦略 299,下り ,Descent
下り 299,艦長 ,Captain
艦長 298,心当たり ,Knowing
心当たり 298,引退 ,Retirement
引退 298,金融 ,Finance
金融 298,無くな ,No longer
無くな 298,何千 ,Thousands
何千 297,婦人 ,Woman 
婦人 296,供給 ,supply 
供給 296,同盟 ,Alliance
同盟 296,毎晩 ,Every night
毎晩 296,族 ,Tribe
族 296,商品 ,merchandise 
商品 296,見当 ,Myanda
見当 295,職員 ,Staff 
職員 295,正式 ,Official
正式 294,近づけ ,Approaching
近づけ 294,一切 ,All
一切 294,祖母 ,Grandmother
祖母 294,群れ ,Flock
群れ 294,皇帝 ,Emperor
皇帝 293,王女 ,Princess
王女 293,共和 ,Republic
共和 292,自転 ,Rotation
自転 292,アブ ,Hop
アブ 292,テア ,Theater
テア 292,世の中 ,World
世の中 291,級 ,Class
級 291,引っ越 ,Moving 
引っ越 291,魔術 ,Magic
魔術 291,死人 ,Dead person
死人 291,進化 ,evolution 
進化 291,直ちに ,right away 
直ちに 291,期 ,Period
期 290,北部 ,Northern part
北部 290,充分 ,Fully
充分 290,部長 ,Director
部長 290,祝福 ,Blessing
祝福 290,アイリス ,Iris
アイリス 290,庁 ,Government office
庁 289,アウト ,out 
アウト 289,給料 ,salary 
給料 289,同情 ,Sympathy
同情 288,議会 ,Parliament
議会 288,黄色 ,Yellow
黄色 288,外国 ,foreign country 
外国 288,作動 ,Action
作動 287,手掛かり ,Clue
手掛かり 287,大臣 ,Minister
大臣 287,話題 ,Topic
話題 287,校長 ,principal 
校長 287,恋愛 ,love affair 
恋愛 285,追加 ,addition 
追加 285,検索 ,search 
検索 285,連行 ,Derivation
連行 285,立ち上が ,Starting up
立ち上が 285,建設 ,Construction
建設 284,数百 ,hundreds 
数百 284,成果 ,Achievement 
成果 284,発言 ,comment 
発言 283,苦手 ,weak point 
苦手 283,画像 ,image 
画像 282,取り組 ,Efforts
取り組 282,何時 ,What time 
何時 282,類 ,Kind
類 282,株 ,KK 
株 282,司法 ,Justice
司法 282,双子 ,Twins
双子 281,放棄 ,Abandonment
放棄 281,出番 ,Turn
出番 281,電車 ,train 
電車 281,玄関 ,entrance 
玄関 281,屋敷 ,Mansion
屋敷 281,当たり前 ,obvious 
当たり前 281,直面 ,Facing
直面 280,共犯 ,Accomplice
共犯 280,笑い声 ,Laughter
笑い声 280,指名 ,Nomination
指名 280,具体 ,Concrete
具体 280,野球 ,baseball 
野球 280,突入 ,Entering
突入 280,救世 ,Salvation
救世 280,儀式 ,Ritual
儀式 279,圧力 ,Pressure
圧力 279,ノア ,Noah 
ノア 279,キャリア ,Career
キャリア 279,聖書 ,Bible
聖書 279,連れ戻 ,Back
連れ戻 278,アル ,Al
アル 278,周辺 ,neighborhood 
周辺 278,高度 ,Advanced
高度 278,及 ,Aspect
及 278,大会 ,Conference
大会 277,職場 ,workplace 
職場 277,比べ ,Comparison
比べ 277,あた ,Aspect
あた 276,日曜 ,Sunday
日曜 275,アドバイス ,Advice
アドバイス 275,知恵 ,Wisdom
知恵 275,融資 ,Loan
融資 275,最中 ,In the middle
最中 275,乗り ,Riding
乗り 275,議長 ,Chairman
議長 275,信念 ,Belief
信念 274,連れ去 ,Taking away
連れ去 274,入院 ,hospitalization 
入院 274,気味 ,Creepy
気味 274,借金 ,debt 
借金 274,整理 ,Organizing
整理 273,資産 ,assets 
資産 273,感動 ,Impressive
感動 273,検死 ,Intolerance
検死 273,アレク ,Alex
アレク 273,検察 ,Prosecutor
検察 273,引け ,Hesitancy
引け 272,アディ ,Ade
アディ 272,生涯 ,Life
生涯 271,企 ,Planning
企 271,承認 ,Approval
承認 271,間抜け ,Idiot
間抜け 271,アーメン ,Amen
アーメン 271,買い物 ,shopping 
買い物 270,高速 ,high speed 
高速 270,解雇 ,Dismissal
解雇 270,アリバイ ,Alibi
アリバイ 269,昼食 ,lunch 
昼食 269,天気 ,weather 
天気 268,引き金 ,Trigger
引き金 268,獲物 ,Prey
獲物 268,再生 ,reproduction 
再生 268,古代 ,Ancient times
古代 268,降伏 ,Surrender
降伏 267,南上 ,South
南上 267,役目 ,Role
役目 267,宗教 ,Religion
宗教 267,一同 ,All
一同 267,録 ,Record
録 267,界 ,World
界 266,領域 ,Area
領域 266,ブライアン ,Brian
ブライアン 266,屋上 ,Rooftop
屋上 265,アルファ ,Alpha
アルファ 265,暴行 ,Assault
暴行 264,発明 ,Invention
発明 264,社員 ,employee 
社員 264,静流 ,Stagger
静流 264,検事 ,Prosecutor
検事 264,世 ,World
世 263,半年 ,Half a year
半年 263,入り口 ,Entrance 
入り口 262,あたり ,Around
あたり 262,同然 ,Like
同然 262,悪人 ,Bad man
悪人 262,達成 ,Achievement
達成 262,弱点 ,Weakness
弱点 261,評議 ,Discussion
評議 261,戦場 ,Battlefield
戦場 261,物理 ,Physics 
物理 261,死に ,Death
死に 261,進展 ,Progress
進展 261,受信 ,Reception
受信 261,菓子 ,Confectionery
菓子 260,高級 ,High -grade
高級 260,死ね ,Death
死ね 260,アフリカ ,Africa
アフリカ 260,主任 ,Chief
主任 260,手順 ,procedure 
手順 260,野朗 ,Wild
野朗 260,あちこち ,Here and there
あちこち 260,時刻 ,time 
時刻 259,無効 ,invalid 
無効 259,防御 ,Defense
防御 259,送れ ,Send
送れ 258,複数 ,multiple 
複数 258,下手 ,Poor
下手 258,港 ,Port
港 258,死後 ,After death
死後 257,少々 ,a little 
少々 257,電力 ,Electricity
電力 257,分間 ,Minute
分間 257,廊下 ,corridor 
廊下 257,真ん中 ,middle 
真ん中 257,事項 ,Matter
事項 256,選べ ,You can choose
選べ 256,処置 ,Treatment
処置 255,伝統 ,tradition 
伝統 255,地点 ,Point
地点 255,曲が ,Song 
曲が 255,新人 ,Newcomer
新人 255,下ろせ ,Drainage
下ろせ 255,発電 ,Power generation
発電 255,保存 ,keep 
保存 254,十字 ,Cross
十字 254,代償 ,Comparison
代償 254,習 ,Training
習 254,愛情 ,Affection
愛情 254,サマリア ,Samaria
サマリア 254,評判 ,Reputation
評判 254,誠人 ,Sincerity
誠人 253,挙げ ,List
挙げ 253,構築 ,construction 
構築 253,解読 ,Decipherment
解読 253,昇進 ,Promotion
昇進 253,住民 ,Residents
住民 252,強化 ,Enhancement
強化 252,手続き ,procedure 
手続き 252,親愛 ,Love
親愛 252,直前 ,Right before
直前 252,周囲 ,Surroundings
周囲 252,一歩 ,one step 
一歩 251,博物 ,Reality
博物 251,偽物 ,fake 
偽物 251,拡大 ,expansion 
拡大 251,競争 ,Competition
競争 251,随分 ,Considerably
随分 251,寄付 ,Donation
寄付 251,積 ,Pile
積 250,以下 ,below 
以下 250,永久 ,Forever
永久 250,無用 ,Useless
無用 250,神聖 ,Sacred
神聖 250,消防 ,Firefighting
消防 250,大物 ,Big game
大物 249,製造 ,Manufacturing
製造 249,立ち向か ,Confronting
立ち向か 249,党 ,Party
党 249,公表 ,Publication
公表 249,録音 ,Recording
録音 248,素早 ,Quickness
素早 248,ウィリアム ,William
ウィリアム 248,肉体 ,Body
肉体 248,年寄り ,Elderly
年寄り 247,誘導 ,Guidance
誘導 247,起訴 ,Prosecution
起訴 247,内側 ,Inside
内側 247,特徴 ,Features 
特徴 246,友情 ,Friendship
友情 245,やる気 ,Motivation 
やる気 245,自体 ,Itself
自体 245,広げ ,Expansion
広げ 245,取り上げ ,Feature
取り上げ 245,やり直 ,Directly
やり直 245,不法 ,Illegal
不法 245,展開 ,Development
展開 244,予備 ,spare 
予備 244,手下 ,Minion
手下 244,＝ ,=
＝ 244,カ月 ,Month
カ月 243,匿名 ,Anonymous 
匿名 243,張 ,Tension
張 243,偵察 ,Reconnaissance
偵察 243,アンジェラ ,Angela
アンジェラ 243,アイザック ,Isac
アイザック 243,国防 ,National defense
国防 242,王妃 ,Queen
王妃 242,優勝 ,Victory 
優勝 242,黄金 ,Golden
黄金 242,忠実 ,Faithful
忠実 242,利口 ,Clever
利口 242,中佐 ,Colonel
中佐 242,取り除 ,Removal
取り除 242,分野 ,Field
分野 242,果て ,End
果て 242,登場 ,Appearance 
登場 241,取締 ,Control
取締 241,拍手 ,Applause
拍手 241,会計 ,accounting 
会計 241,懸命 ,Hard
懸命 241,部品 ,parts 
部品 241,本日 ,today 
本日 241,提出 ,Submission
提出 240,売人 ,Seller
売人 240,谷 ,Valley
谷 240,争い ,Conflict
争い 240,再開 ,Restart
再開 239,人工 ,Artificial
人工 239,座標 ,Coordinate 
座標 239,色んな ,Various
色んな 239,地位 ,Status
地位 239,出会い ,Encounter
出会い 238,置け ,Place
置け 237,開放 ,Open
開放 237,経済 ,economy 
経済 237,小便 ,Piss
小便 237,作家 ,Writer 
作家 236,率直 ,Frank
率直 236,大声 ,Loud
大声 236,手放 ,Release
手放 235,基づ ,Based
基づ 235,毎年 ,Every year
毎年 235,アビー ,Abbey
アビー 235,多少 ,Somewhat
多少 235,編集 ,edit 
編集 235,数千 ,Thousands
数千 234,長年 ,Many years
長年 234,独身 ,single 
独身 234,材料 ,Ingredients
材料 234,部門 ,Department
部門 234,エリア ,area 
エリア 233,郡 ,County
郡 233,土 ,soil 
土 232,出入り ,Entering and leaving
出入り 232,意外 ,Surprisingly
意外 232,参 ,Attending
参 232,模様 ,pattern 
模様 232,予言 ,Prophecy
予言 231,立ち去 ,Standing out
立ち去 231,植物 ,Plants
植物 231,文書 ,documents 
文書 231,善人 ,Good man
善人 231,教わ ,Teaching
教わ 231,先日 ,the other day 
先日 230,勝者 ,Winner
勝者 230,追放 ,Expulsion
追放 230,付き合い ,Dating
付き合い 230,持ち主 ,Owner 
持ち主 230,適当 ,suitable 
適当 229,無料 ,free 
無料 229,孤児 ,Orphan
孤児 229,手伝え ,Help
手伝え 229,空腹 ,Hunger 
空腹 229,演 ,Performance
演 228,宣言 ,declaration 
宣言 228,護 ,Protection
護 227,引き上げ ,Pulling up
引き上げ 227,明白 ,Obvious
明白 227,制限 ,limit 
制限 227,侵略 ,Invasion
侵略 227,米 ,Rice
米 227,幸福 ,Happiness
幸福 227,合法 ,Legal
合法 226,作り ,Making
作り 225,職業 ,Profession 
職業 225,国内 ,Domestic 
国内 225,下着 ,Underwear
下着 225,合格 ,Passing
合格 225,ライアス ,Rias
ライアス 225,化け物 ,Monster
化け物 224,葬式 ,funeral 
葬式 224,音声 ,audio 
音声 224,構造 ,structure 
構造 224,黙示 ,Apocalypse
黙示 224,先ず ,First
先ず 223,支店 ,branch 
支店 223,最強 ,The strongest
最強 222,地震 ,Earthquake
地震 222,解明 ,Elucidation
解明 221,見付け ,Founding
見付け 221,済ま ,Finished
済ま 221,購入 ,purchase 
購入 221,電波 ,Radio wave
電波 221,提督 ,Admiral
提督 221,ツアー ,Tours 
ツアー 220,同行 ,Accompaniment
同行 219,尊重 ,Respect
尊重 219,期限 ,Deadline
期限 219,メディア ,Media
メディア 219,空間 ,Space
空間 219,自白 ,Confession
自白 219,会見 ,Conference
会見 219,動脈 ,Artery
動脈 218,費用 ,Expense
費用 218,マイアミ ,Miami
マイアミ 218,狂気 ,Insanity 
狂気 218,銀 ,Silver 
銀 218,海外 ,abroad 
海外 218,売り ,Selling
売り 217,劇場 ,Theater
劇場 217,隣人 ,Neighbor
隣人 217,木曜 ,Thursday 
木曜 216,知り合 ,Acquaintance
知り合 216,空け ,Vacant
空け 216,多数 ,Majority
多数 215,報復 ,Retaliation 
報復 215,面接 ,interview 
面接 215,外交 ,Diplomacy
外交 215,アンドリュー ,Andrew
アンドリュー 215,内緒 ,Secret
内緒 214,誠実 ,sincerity 
誠実 214,中継 ,Relay
中継 214,原子 ,Atom
原子 214,表示 ,Indication
表示 214,地方 ,Region
地方 214,足跡 ,Footprint
足跡 213,本名 ,Real name
本名 213,悪者 ,Bad guy
悪者 213,日付 ,date 
日付 213,引き継 ,Take over 
引き継 213,守護 ,Protection
守護 212,味わ ,Taste
味わ 212,反撃 ,Counterattack
反撃 212,再会 ,Reunion
再会 211,言語 ,language 
言語 211,アフガニスタン ,Afghanistan
アフガニスタン 211,久利生 ,Hausui
久利生 211,行き先 ,destination 
行き先 211,結末 ,Ending
結末 211,無く ,Without
無く 210,演技 ,Acting
演技 210,継続 ,continuation 
継続 210,無限 ,infinite 
